Region,Year,Location code
AFRICA,1950,903
AFRICA,1951,903
AFRICA,1952,903
AFRICA,1953,903
AFRICA,1954,903
AFRICA,1955,903
AFRICA,1956,903
AFRICA,1957,903
AFRICA,1958,903
AFRICA,1959,903
AFRICA,1960,903
AFRICA,1961,903
AFRICA,1962,903
AFRICA,1963,903
AFRICA,1964,903
AFRICA,1965,903
AFRICA,1966,903
AFRICA,1967,903
AFRICA,1968,903
AFRICA,1969,903
AFRICA,1970,903
AFRICA,1971,903
AFRICA,1972,903
AFRICA,1973,903
AFRICA,1974,903
AFRICA,1975,903
AFRICA,1976,903
AFRICA,1977,903
AFRICA,1978,903
AFRICA,1979,903
AFRICA,1980,903
AFRICA,1981,903
AFRICA,1982,903
AFRICA,1983,903
AFRICA,1984,903
AFRICA,1985,903
AFRICA,1986,903
AFRICA,1987,903
AFRICA,1988,903
AFRICA,1989,903
AFRICA,1990,903
AFRICA,1991,903
AFRICA,1992,903
AFRICA,1993,903
AFRICA,1994,903
AFRICA,1995,903
AFRICA,1996,903
AFRICA,1997,903
AFRICA,1998,903
AFRICA,1999,903
AFRICA,2000,903
AFRICA,2001,903
AFRICA,2002,903
AFRICA,2003,903
AFRICA,2004,903
AFRICA,2005,903
AFRICA,2006,903
AFRICA,2007,903
AFRICA,2008,903
AFRICA,2009,903
AFRICA,2010,903
AFRICA,2011,903
AFRICA,2012,903
AFRICA,2013,903
AFRICA,2014,903
AFRICA,2015,903
AFRICA,2016,903
AFRICA,2017,903
AFRICA,2018,903
AFRICA,2019,903
AFRICA,2020,903
AFRICA,2021,903
ASIA,1950,935
ASIA,1951,935
ASIA,1952,935
ASIA,1953,935
ASIA,1954,935
ASIA,1955,935
ASIA,1956,935
ASIA,1957,935
ASIA,1958,935
ASIA,1959,935
ASIA,1960,935
ASIA,1961,935
ASIA,1962,935
ASIA,1963,935
ASIA,1964,935
ASIA,1965,935
ASIA,1966,935
ASIA,1967,935
ASIA,1968,935
ASIA,1969,935
ASIA,1970,935
ASIA,1971,935
ASIA,1972,935
ASIA,1973,935
ASIA,1974,935
ASIA,1975,935
ASIA,1976,935
ASIA,1977,935
ASIA,1978,935
ASIA,1979,935
ASIA,1980,935
ASIA,1981,935
ASIA,1982,935
ASIA,1983,935
ASIA,1984,935
ASIA,1985,935
ASIA,1986,935
ASIA,1987,935
ASIA,1988,935
ASIA,1989,935
ASIA,1990,935
ASIA,1991,935
ASIA,1992,935
ASIA,1993,935
ASIA,1994,935
ASIA,1995,935
ASIA,1996,935
ASIA,1997,935
ASIA,1998,935
ASIA,1999,935
ASIA,2000,935
ASIA,2001,935
ASIA,2002,935
ASIA,2003,935
ASIA,2004,935
ASIA,2005,935
ASIA,2006,935
ASIA,2007,935
ASIA,2008,935
ASIA,2009,935
ASIA,2010,935
ASIA,2011,935
ASIA,2012,935
ASIA,2013,935
ASIA,2014,935
ASIA,2015,935
ASIA,2016,935
ASIA,2017,935
ASIA,2018,935
ASIA,2019,935
ASIA,2020,935
ASIA,2021,935
EUROPE,1950,908
EUROPE,1951,908
EUROPE,1952,908
EUROPE,1953,908
EUROPE,1954,908
EUROPE,1955,908
EUROPE,1956,908
EUROPE,1957,908
EUROPE,1958,908
EUROPE,1959,908
EUROPE,1960,908
EUROPE,1961,908
EUROPE,1962,908
EUROPE,1963,908
EUROPE,1964,908
EUROPE,1965,908
EUROPE,1966,908
EUROPE,1967,908
EUROPE,1968,908
EUROPE,1969,908
EUROPE,1970,908
EUROPE,1971,908
EUROPE,1972,908
EUROPE,1973,908
EUROPE,1974,908
EUROPE,1975,908
EUROPE,1976,908
EUROPE,1977,908
EUROPE,1978,908
EUROPE,1979,908
EUROPE,1980,908
EUROPE,1981,908
EUROPE,1982,908
EUROPE,1983,908
EUROPE,1984,908
EUROPE,1985,908
EUROPE,1986,908
EUROPE,1987,908
EUROPE,1988,908
EUROPE,1989,908
EUROPE,1990,908
EUROPE,1991,908
EUROPE,1992,908
EUROPE,1993,908
EUROPE,1994,908
EUROPE,1995,908
EUROPE,1996,908
EUROPE,1997,908
EUROPE,1998,908
EUROPE,1999,908
EUROPE,2000,908
EUROPE,2001,908
EUROPE,2002,908
EUROPE,2003,908
EUROPE,2004,908
EUROPE,2005,908
EUROPE,2006,908
EUROPE,2007,908
EUROPE,2008,908
EUROPE,2009,908
EUROPE,2010,908
EUROPE,2011,908
EUROPE,2012,908
EUROPE,2013,908
EUROPE,2014,908
EUROPE,2015,908
EUROPE,2016,908
EUROPE,2017,908
EUROPE,2018,908
EUROPE,2019,908
EUROPE,2020,908
EUROPE,2021,908
LATIN AMERICA AND THE CARIBBEAN,1950,904
LATIN AMERICA AND THE CARIBBEAN,1951,904
LATIN AMERICA AND THE CARIBBEAN,1952,904
LATIN AMERICA AND THE CARIBBEAN,1953,904
LATIN AMERICA AND THE CARIBBEAN,1954,904
LATIN AMERICA AND THE CARIBBEAN,1955,904
LATIN AMERICA AND THE CARIBBEAN,1956,904
LATIN AMERICA AND THE CARIBBEAN,1957,904
LATIN AMERICA AND THE CARIBBEAN,1958,904
LATIN AMERICA AND THE CARIBBEAN,1959,904
LATIN AMERICA AND THE CARIBBEAN,1960,904
LATIN AMERICA AND THE CARIBBEAN,1961,904
LATIN AMERICA AND THE CARIBBEAN,1962,904
LATIN AMERICA AND THE CARIBBEAN,1963,904
LATIN AMERICA AND THE CARIBBEAN,1964,904
LATIN AMERICA AND THE CARIBBEAN,1965,904
LATIN AMERICA AND THE CARIBBEAN,1966,904
LATIN AMERICA AND THE CARIBBEAN,1967,904
LATIN AMERICA AND THE CARIBBEAN,1968,904
LATIN AMERICA AND THE CARIBBEAN,1969,904
LATIN AMERICA AND THE CARIBBEAN,1970,904
LATIN AMERICA AND THE CARIBBEAN,1971,904
LATIN AMERICA AND THE CARIBBEAN,1972,904
LATIN AMERICA AND THE CARIBBEAN,1973,904
LATIN AMERICA AND THE CARIBBEAN,1974,904
LATIN AMERICA AND THE CARIBBEAN,1975,904
LATIN AMERICA AND THE CARIBBEAN,1976,904
LATIN AMERICA AND THE CARIBBEAN,1977,904
LATIN AMERICA AND THE CARIBBEAN,1978,904
LATIN AMERICA AND THE CARIBBEAN,1979,904
LATIN AMERICA AND THE CARIBBEAN,1980,904
LATIN AMERICA AND THE CARIBBEAN,1981,904
LATIN AMERICA AND THE CARIBBEAN,1982,904
LATIN AMERICA AND THE CARIBBEAN,1983,904
LATIN AMERICA AND THE CARIBBEAN,1984,904
LATIN AMERICA AND THE CARIBBEAN,1985,904
LATIN AMERICA AND THE CARIBBEAN,1986,904
LATIN AMERICA AND THE CARIBBEAN,1987,904
LATIN AMERICA AND THE CARIBBEAN,1988,904
LATIN AMERICA AND THE CARIBBEAN,1989,904
LATIN AMERICA AND THE CARIBBEAN,1990,904
LATIN AMERICA AND THE CARIBBEAN,1991,904
LATIN AMERICA AND THE CARIBBEAN,1992,904
LATIN AMERICA AND THE CARIBBEAN,1993,904
LATIN AMERICA AND THE CARIBBEAN,1994,904
LATIN AMERICA AND THE CARIBBEAN,1995,904
LATIN AMERICA AND THE CARIBBEAN,1996,904
LATIN AMERICA AND THE CARIBBEAN,1997,904
LATIN AMERICA AND THE CARIBBEAN,1998,904
LATIN AMERICA AND THE CARIBBEAN,1999,904
LATIN AMERICA AND THE CARIBBEAN,2000,904
LATIN AMERICA AND THE CARIBBEAN,2001,904
LATIN AMERICA AND THE CARIBBEAN,2002,904
LATIN AMERICA AND THE CARIBBEAN,2003,904
LATIN AMERICA AND THE CARIBBEAN,2004,904
LATIN AMERICA AND THE CARIBBEAN,2005,904
LATIN AMERICA AND THE CARIBBEAN,2006,904
LATIN AMERICA AND THE CARIBBEAN,2007,904
LATIN AMERICA AND THE CARIBBEAN,2008,904
LATIN AMERICA AND THE CARIBBEAN,2009,904
LATIN AMERICA AND THE CARIBBEAN,2010,904
LATIN AMERICA AND THE CARIBBEAN,2011,904
LATIN AMERICA AND THE CARIBBEAN,2012,904
LATIN AMERICA AND THE CARIBBEAN,2013,904
LATIN AMERICA AND THE CARIBBEAN,2014,904
LATIN AMERICA AND THE CARIBBEAN,2015,904
LATIN AMERICA AND THE CARIBBEAN,2016,904
LATIN AMERICA AND THE CARIBBEAN,2017,904
LATIN AMERICA AND THE CARIBBEAN,2018,904
LATIN AMERICA AND THE CARIBBEAN,2019,904
LATIN AMERICA AND THE CARIBBEAN,2020,904
LATIN AMERICA AND THE CARIBBEAN,2021,904
NORTHERN AMERICA,1950,905
NORTHERN AMERICA,1951,905
NORTHERN AMERICA,1952,905
NORTHERN AMERICA,1953,905
NORTHERN AMERICA,1954,905
NORTHERN AMERICA,1955,905
NORTHERN AMERICA,1956,905
NORTHERN AMERICA,1957,905
NORTHERN AMERICA,1958,905
NORTHERN AMERICA,1959,905
NORTHERN AMERICA,1960,905
NORTHERN AMERICA,1961,905
NORTHERN AMERICA,1962,905
NORTHERN AMERICA,1963,905
NORTHERN AMERICA,1964,905
NORTHERN AMERICA,1965,905
NORTHERN AMERICA,1966,905
NORTHERN AMERICA,1967,905
NORTHERN AMERICA,1968,905
NORTHERN AMERICA,1969,905
NORTHERN AMERICA,1970,905
NORTHERN AMERICA,1971,905
NORTHERN AMERICA,1972,905
NORTHERN AMERICA,1973,905
NORTHERN AMERICA,1974,905
NORTHERN AMERICA,1975,905
NORTHERN AMERICA,1976,905
NORTHERN AMERICA,1977,905
NORTHERN AMERICA,1978,905
NORTHERN AMERICA,1979,905
NORTHERN AMERICA,1980,905
NORTHERN AMERICA,1981,905
NORTHERN AMERICA,1982,905
NORTHERN AMERICA,1983,905
NORTHERN AMERICA,1984,905
NORTHERN AMERICA,1985,905
NORTHERN AMERICA,1986,905
NORTHERN AMERICA,1987,905
NORTHERN AMERICA,1988,905
NORTHERN AMERICA,1989,905
NORTHERN AMERICA,1990,905
NORTHERN AMERICA,1991,905
NORTHERN AMERICA,1992,905
NORTHERN AMERICA,1993,905
NORTHERN AMERICA,1994,905
NORTHERN AMERICA,1995,905
NORTHERN AMERICA,1996,905
NORTHERN AMERICA,1997,905
NORTHERN AMERICA,1998,905
NORTHERN AMERICA,1999,905
NORTHERN AMERICA,2000,905
NORTHERN AMERICA,2001,905
NORTHERN AMERICA,2002,905
NORTHERN AMERICA,2003,905
NORTHERN AMERICA,2004,905
NORTHERN AMERICA,2005,905
NORTHERN AMERICA,2006,905
NORTHERN AMERICA,2007,905
NORTHERN AMERICA,2008,905
NORTHERN AMERICA,2009,905
NORTHERN AMERICA,2010,905
NORTHERN AMERICA,2011,905
NORTHERN AMERICA,2012,905
NORTHERN AMERICA,2013,905
NORTHERN AMERICA,2014,905
NORTHERN AMERICA,2015,905
NORTHERN AMERICA,2016,905
NORTHERN AMERICA,2017,905
NORTHERN AMERICA,2018,905
NORTHERN AMERICA,2019,905
NORTHERN AMERICA,2020,905
NORTHERN AMERICA,2021,905
OCEANIA,1950,909
OCEANIA,1951,909
OCEANIA,1952,909
OCEANIA,1953,909
OCEANIA,1954,909
OCEANIA,1955,909
OCEANIA,1956,909
OCEANIA,1957,909
OCEANIA,1958,909
OCEANIA,1959,909
OCEANIA,1960,909
OCEANIA,1961,909
OCEANIA,1962,909
OCEANIA,1963,909
OCEANIA,1964,909
OCEANIA,1965,909
OCEANIA,1966,909
OCEANIA,1967,909
OCEANIA,1968,909
OCEANIA,1969,909
OCEANIA,1970,909
OCEANIA,1971,909
OCEANIA,1972,909
OCEANIA,1973,909
OCEANIA,1974,909
OCEANIA,1975,909
OCEANIA,1976,909
OCEANIA,1977,909
OCEANIA,1978,909
OCEANIA,1979,909
OCEANIA,1980,909
OCEANIA,1981,909
OCEANIA,1982,909
OCEANIA,1983,909
OCEANIA,1984,909
OCEANIA,1985,909
OCEANIA,1986,909
OCEANIA,1987,909
OCEANIA,1988,909
OCEANIA,1989,909
OCEANIA,1990,909
OCEANIA,1991,909
OCEANIA,1992,909
OCEANIA,1993,909
OCEANIA,1994,909
OCEANIA,1995,909
OCEANIA,1996,909
OCEANIA,1997,909
OCEANIA,1998,909
OCEANIA,1999,909
OCEANIA,2000,909
OCEANIA,2001,909
OCEANIA,2002,909
OCEANIA,2003,909
OCEANIA,2004,909
OCEANIA,2005,909
OCEANIA,2006,909
OCEANIA,2007,909
OCEANIA,2008,909
OCEANIA,2009,909
OCEANIA,2010,909
OCEANIA,2011,909
OCEANIA,2012,909
OCEANIA,2013,909
OCEANIA,2014,909
OCEANIA,2015,909
OCEANIA,2016,909
OCEANIA,2017,909
OCEANIA,2018,909
OCEANIA,2019,909
OCEANIA,2020,909
OCEANIA,2021,909
